rel_month,Coef,SE,CI_lo,CI_hi,t,p,N,Specification
-24,0.00856674750652664,0.00803127305109729,-0.007174547673624049,0.024308042686677328,1.0666736707894884,0.28617196625037655,223313,binary_fim
-23,0.018375021468863734,0.007951405242052687,0.002790267194440468,0.033959775743287,2.3109149778561844,0.02087901579885898,223313,binary_fim
-22,0.01903494377120001,0.007224627781456571,0.0048746733195451294,0.03319521422285489,2.6347300299756533,0.008447019948779833,223313,binary_fim
-21,0.021289322252715542,0.006751368640511719,0.008056639717312573,0.03452200478811851,3.1533342920972425,0.0016239576452317106,223313,binary_fim
-20,0.024320702709500586,0.006639523166030591,0.011307237304080628,0.037334168114920546,3.663019482171731,0.00025190148694753667,223313,binary_fim
-19,0.0264324440461621,0.006543096654717851,0.013607974602915114,0.03925691348940909,4.03974531342177,5.433114084696378e-05,223313,binary_fim
-18,0.027081802488236106,0.006567567787083225,0.014209369625552986,0.03995423535091923,4.123566496184369,3.7924783331089174e-05,223313,binary_fim
-17,0.027504572106424072,0.006569180583347437,0.014628978163063095,0.040380166049785046,4.186910643946502,2.877567510517487e-05,223313,binary_fim
-16,0.03496208200036125,0.006602765571106645,0.02202066148099223,0.04790350251973027,5.295066381480131,1.2419141048880533e-07,223313,binary_fim
-15,0.054186864023535695,0.0064930637377119856,0.0414604590976202,0.06691326894945118,8.345346081976082,2.220446049250313e-16,223313,binary_fim
-14,0.05547427979702899,0.0068826975504388465,0.04198419259816885,0.06896436699588913,8.059961866767182,8.881784197001252e-16,223313,binary_fim
-13,0.05316359128578252,0.007158916215730712,0.03913211550295032,0.06719506706861472,7.426206660857826,1.312283615106935e-13,223313,binary_fim
-12,0.024855514909447873,0.007544894768602695,0.01006752116298659,0.039643508655909154,3.2943487844100288,0.0009935332545119024,223313,binary_fim
-11,0.020275447481906832,0.007602089095871229,0.005375352853999224,0.03517554210981444,2.6670889049325446,0.007676388593794492,223313,binary_fim
-10,0.015840365269534577,0.007723027106084429,0.0007032321416090975,0.030977498397460057,2.051056541942611,0.04031469880226912,223313,binary_fim
-9,-0.0048863669373995465,0.008393059355949688,-0.021336763275060934,0.011564029400261841,-0.582191395314712,0.560464652702044,223313,binary_fim
-8,0.002382809110739617,0.008064423976909386,-0.01342346188400278,0.018189080105482015,0.29547170604648765,0.7676461287924563,223313,binary_fim
