bootstrap_id,feature,label,rank,mean_abs_shap
39,kw_data_value_p10k,数据价值变现,5,0.001773712327869366
39,kw_data_gov_p10k,数据治理,4,0.0024497083846104005
40,kw_data_stock_p10k,数据存量,1,0.0061598358204628155
40,kw_data_dev_p10k,数据开发能力,2,0.006112006676910304
40,kw_data_app_p10k,数据驱动应用,3,0.005628892914151502
40,kw_data_value_p10k,数据价值变现,5,0.002067157350462826
40,kw_data_gov_p10k,数据治理,4,0.0025116575609962413
41,kw_data_stock_p10k,数据存量,3,0.00601490928575307
41,kw_data_dev_p10k,数据开发能力,1,0.00630893129902561
41,kw_data_app_p10k,数据驱动应用,2,0.0061420859709233
41,kw_data_value_p10k,数据价值变现,5,0.002165997367488493
41,kw_data_gov_p10k,数据治理,4,0.0021897335460952373
42,kw_data_stock_p10k,数据存量,3,0.004592868258211111
42,kw_data_dev_p10k,数据开发能力,1,0.006511766945649232
42,kw_data_app_p10k,数据驱动应用,2,0.005191319008305922
42,kw_data_value_p10k,数据价值变现,5,0.0013894548657537023
42,kw_data_gov_p10k,数据治理,4,0.002218337824394844
43,kw_data_stock_p10k,数据存量,3,0.005284772711543194
43,kw_data_dev_p10k,数据开发能力,2,0.00556143435532024
43,kw_data_app_p10k,数据驱动应用,1,0.00659835741944759
43,kw_data_value_p10k,数据价值变现,5,0.0013286183451195128
43,kw_data_gov_p10k,数据治理,4,0.0024009017327735853
44,kw_data_stock_p10k,数据存量,2,0.0048060257022768315
44,kw_data_dev_p10k,数据开发能力,1,0.006050858183563
44,kw_data_app_p10k,数据驱动应用,3,0.004642965155065936
44,kw_data_value_p10k,数据价值变现,5,0.001871887935685403
44,kw_data_gov_p10k,数据治理,4,0.002465951372390344
45,kw_data_stock_p10k,数据存量,2,0.0057616215050666835
45,kw_data_dev_p10k,数据开发能力,1,0.0060305322029334165
45,kw_data_app_p10k,数据驱动应用,3,0.00529020594534329
45,kw_data_value_p10k,数据价值变现,5,0.001672866714106358
45,kw_data_gov_p10k,数据治理,4,0.002449272858231545
46,kw_data_stock_p10k,数据存量,3,0.005156977673445493
46,kw_data_dev_p10k,数据开发能力,1,0.00628081274511595
46,kw_data_app_p10k,数据驱动应用,2,0.0058623373344523525
46,kw_data_value_p10k,数据价值变现,5,0.00108071460846225
46,kw_data_gov_p10k,数据治理,4,0.002394478429899019
47,kw_data_stock_p10k,数据存量,2,0.005118245878511543
47,kw_data_dev_p10k,数据开发能力,1,0.005378475911208038
47,kw_data_app_p10k,数据驱动应用,3,0.0050095649690992845
47,kw_data_value_p10k,数据价值变现,5,0.0016362787072569478
47,kw_data_gov_p10k,数据治理,4,0.0024987567675674865
48,kw_data_stock_p10k,数据存量,3,0.004800258066434162
48,kw_data_dev_p10k,数据开发能力,2,0.00580964622591256
48,kw_data_app_p10k,数据驱动应用,1,0.006677027573384315
48,kw_data_value_p10k,数据价值变现,5,0.00127026084394132
48,kw_data_gov_p10k,数据治理,4,0.0025586706264417378
49,kw_data_stock_p10k,数据存量,2,0.0055860706567772735
49,kw_data_dev_p10k,数据开发能力,1,0.006025758801151327
49,kw_data_app_p10k,数据驱动应用,3,0.005506215890409648
49,kw_data_value_p10k,数据价值变现,5,0.0019827160530686183
49,kw_data_gov_p10k,数据治理,4,0.002437087300687239
50,kw_data_stock_p10k,数据存量,1,0.005882253768155191
50,kw_data_dev_p10k,数据开发能力,2,0.0058383114071145475
50,kw_data_app_p10k,数据驱动应用,3,0.005473602293453872
50,kw_data_value_p10k,数据价值变现,5,0.0018792810967428622
50,kw_data_gov_p10k,数据治理,4,0.0028119856791504623
51,kw_data_stock_p10k,数据存量,2,0.006303034956403907
51,kw_data_dev_p10k,数据开发能力,3,0.005914814831558911
51,kw_data_app_p10k,数据驱动应用,1,0.006867433531349675
51,kw_data_value_p10k,数据价值变现,5,0.0012850757645664042
51,kw_data_gov_p10k,数据治理,4,0.002841345623481451
52,kw_data_stock_p10k,数据存量,3,0.004469544944404042
52,kw_data_dev_p10k,数据开发能力,2,0.005850190708121755
52,kw_data_app_p10k,数据驱动应用,1,0.006130733773685747
52,kw_data_value_p10k,数据价值变现,5,0.0019274653361039014
52,kw_data_gov_p10k,数据治理,4,0.0027074714320758694
