policy,exposure,outcome,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,x_mean,n
pb_narrow,natural_highlev_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_narrow,natural_highlev_pre,InvestIneff,ok,0.008076602333477904,0.004217782060641395,1.9148932347276617,0.05668022906802728,*,22884.0,389.0,397.0,0.06884132895139639,0.016998776437685718,
pb_narrow,natural_highlev_pre,NCSKEW,ok,0.05434298654613698,0.0459468123368576,1.182736816380712,0.2380150475645446,,26541.0,400.0,406.0,-0.6896997822213247,0.015071022192080178,
pb_narrow,natural_highlev_pre,DUVOL,ok,0.0082994405898547,0.014500833004261844,0.5723423328449797,0.5675943182640322,,26541.0,400.0,406.0,-0.46108389944967165,0.015071022192080178,
pb_narrow,natural_highlev_pre,short_liab_ratio,ok,0.03564415234181583,0.013954124365973316,2.5543811569239665,0.011219668284302431,**,26541.0,400.0,406.0,0.8047610984859852,0.015071022192080178,
pb_narrow,natural_highlev_pre,Lev,ok,-0.021478686950771365,0.00456946979254507,-4.700476844340472,4.251436540370079e-06,***,26541.0,400.0,406.0,0.43810332700529503,0.015071022192080178,
pb_narrow,failure_cost_pre,AuditFee,ok,0.03594099966829943,0.01885480598088252,1.9061983297383776,0.05774871430041939,*,26490.0,1207.0,406.0,13.99898005736616,0.032785956964892414,
pb_narrow,failure_cost_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_narrow,failure_cost_pre,InvestIneff,ok,0.022081940656589,0.0064490045690023924,3.4240851313282437,0.0007239009513615446,***,22884.0,1157.0,397.0,0.06884132895139639,0.03646652683097361,
pb_narrow,failure_cost_pre,NCSKEW,ok,-0.169100442021861,0.04434638844310838,-3.8131727962198902,0.00017212428105262134,***,26541.0,1210.0,406.0,-0.6896997822213247,0.032817150823254586,
pb_narrow,failure_cost_pre,DUVOL,ok,-0.07673577735505938,0.024781358689418487,-3.0965121128659163,0.002176809801779367,***,26541.0,1210.0,406.0,-0.46108389944967165,0.032817150823254586,
pb_narrow,failure_cost_pre,short_liab_ratio,ok,0.04227119373573699,0.02586165457247414,1.634512347896269,0.10338519040609584,,26541.0,1210.0,406.0,0.8047610984859852,0.032817150823254586,
pb_narrow,failure_cost_pre,Lev,ok,-0.01917055750590612,0.01409599503353454,-1.3600003022347225,0.17503098006754225,,26541.0,1210.0,406.0,0.43810332700529503,0.032817150823254586,
pb_broad,private_pre,AuditFee,ok,0.02364436451252214,0.012436936448057838,1.9011405751948232,0.058410955140265175,*,26490.0,2330.0,406.0,13.99898005736616,0.08795771989429974,
pb_broad,private_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_broad,private_pre,InvestIneff,ok,0.003060103990674292,0.0037623432954269217,0.8133505505448713,0.4168133144445858,,22884.0,2245.0,397.0,0.06884132895139639,0.09810347841286489,
pb_broad,private_pre,NCSKEW,ok,-0.08189994119068263,0.03275600824340436,-2.5003028629770148,0.013037308435328354,**,26541.0,2339.0,406.0,-0.6896997822213247,0.08812780226818884,
pb_broad,private_pre,DUVOL,ok,-0.03362618129447919,0.018147994994596205,-1.852886850833484,0.06505386611055419,*,26541.0,2339.0,406.0,-0.46108389944967165,0.08812780226818884,
pb_broad,private_pre,short_liab_ratio,ok,0.022212381172769375,0.011105181488016478,2.000181734691918,0.04654110079427953,**,26541.0,2339.0,406.0,0.8047610984859852,0.08812780226818884,
pb_broad,private_pre,Lev,ok,0.006432663314692295,0.007772360423603442,0.8276331724346317,0.4086521350090644,,26541.0,2339.0,406.0,0.43810332700529503,0.08812780226818884,
pb_broad,natural_pre,AuditFee,ok,0.02137340438943358,0.01530826147227942,1.39620063507127,0.16386832244991978,,26490.0,2382.0,406.0,13.99898005736616,0.089920724801812,
pb_broad,natural_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_broad,natural_pre,InvestIneff,ok,0.0050482239008214965,0.004097665878363069,1.2319754832812662,0.21914902449541307,,22884.0,2294.0,397.0,0.06884132895139639,0.10024471246285614,
pb_broad,natural_pre,NCSKEW,ok,-0.07738431495675123,0.03986168445521535,-1.941320744829351,0.05332104173651375,*,26541.0,2391.0,406.0,-0.6896997822213247,0.09008703515315926,
pb_broad,natural_pre,DUVOL,ok,-0.030227841285072405,0.021360461409348663,-1.4151305398226475,0.15825026175067292,,26541.0,2391.0,406.0,-0.46108389944967165,0.09008703515315926,
pb_broad,natural_pre,short_liab_ratio,ok,0.0159843046814177,0.012166852140722688,1.3137584394502442,0.1901082164604575,,26541.0,2391.0,406.0,0.8047610984859852,0.09008703515315926,
pb_broad,natural_pre,Lev,ok,0.012590598252767626,0.007708858698233982,1.6332635926576264,0.10364764215394673,,26541.0,2391.0,406.0,0.43810332700529503,0.09008703515315926,
pb_broad,high_lev_pre,AuditFee,ok,0.02513231520884559,0.016000343645626844,1.5707359645187784,0.11748395684348889,,26490.0,1292.0,406.0,13.99898005736616,0.04877312193280483,
pb_broad,high_lev_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_broad,high_lev_pre,InvestIneff,ok,0.003265826492313196,0.0036842063162322645,0.8864396323094811,0.37625708951922743,,22884.0,1249.0,397.0,0.06884132895139639,0.05457961894773641,
pb_broad,high_lev_pre,NCSKEW,ok,0.09007070501013975,0.028580155763823233,3.151512040537976,0.0018183163099296795,***,26541.0,1294.0,406.0,-0.6896997822213247,0.048754756791379375,
pb_broad,high_lev_pre,DUVOL,ok,0.023329699115233346,0.012320920608519722,1.893502917233411,0.05942301511123005,*,26541.0,1294.0,406.0,-0.46108389944967165,0.048754756791379375,
pb_broad,high_lev_pre,short_liab_ratio,ok,0.0124259406260776,0.008578608306934408,1.4484797745146203,0.14871140508567904,,26541.0,1294.0,406.0,0.8047610984859852,0.048754756791379375,
