outcome,exposure,event,term,coef,se_city_cluster,t,p,sig,ci_low,ci_high,n_input,clusters_city
InvestIneff,failure_cost_pre,+1,es_lag1_failure_cost_pre,0.006865292397389437,0.016001103904630002,0.42905117286332534,0.6682661134335559,,-0.024653272372499813,0.038383857167278684,22884,397
InvestIneff,failure_cost_pre,>=+2,es_lag2p_failure_cost_pre,-0.011728345847302313,0.018018113941703103,-0.6509197291819173,0.5157133285267808,,-0.047219965343535154,0.02376327364893053,22884,397
EarnQualAbs,private_highlev_pre,<=-4,es_lead4m_private_highlev_pre,-0.0013277536326965777,0.0022508749789487722,-0.5898833320883416,0.5557995072757662,,-0.005760762380189405,0.00310525511479625,25078,403
EarnQualAbs,private_highlev_pre,-3,es_lead3_private_highlev_pre,-0.000656227392909208,0.006611395537289699,-0.09925701604267113,0.9210134319374323,,-0.013677107950046232,0.012364653164227817,25078,403
EarnQualAbs,private_highlev_pre,-2,es_lead2_private_highlev_pre,-0.013061121243400775,0.0028233416420944757,-4.626121418912476,5.973081282251158e-06,***,-0.018621580315370593,-0.007500662171430957,25078,403
EarnQualAbs,private_highlev_pre,0,es_event0_private_highlev_pre,0.001739940497570956,0.00297217317505402,0.5854102015907374,0.5587978732411689,,-0.004113636359119434,0.007593517354261345,25078,403
EarnQualAbs,private_highlev_pre,+1,es_lag1_private_highlev_pre,0.006080397665368104,0.004554644035030009,1.334988556427998,0.18308965187819481,,-0.002889792610785648,0.015050587941521856,25078,403
EarnQualAbs,private_highlev_pre,>=+2,es_lag2p_private_highlev_pre,0.0014670326394347415,0.004980153883464995,0.294575764878582,0.7685614604247242,,-0.008341182359503745,0.011275247638373228,25078,403
NCSKEW,private_pre,<=-4,es_lead4m_private_pre,-0.015328872367640568,0.059787615889574694,-0.2563887544195168,0.7978573936439575,,-0.1330692562850636,0.10241151154978247,26541,406
NCSKEW,private_pre,-3,es_lead3_private_pre,-0.00471872697666822,0.08444860356911658,-0.05587690947199853,0.9554836212632285,,-0.17102425459433382,0.16158680064099737,26541,406
NCSKEW,private_pre,-2,es_lead2_private_pre,0.06871315323016676,0.03925066320805457,1.7506240051522552,0.08121325876976648,*,-0.008583592699045947,0.14600989915937945,26541,406
NCSKEW,private_pre,0,es_event0_private_pre,-0.035911188888343305,0.04603221087248527,-0.7801317427012489,0.4360368507658643,,-0.1265629083130555,0.054740530536368896,26541,406
NCSKEW,private_pre,+1,es_lag1_private_pre,-0.14518239993520907,0.09686534689210193,-1.4988063801281524,0.13516079861178976,,-0.3359403514219341,0.045575551551515964,26541,406
NCSKEW,private_pre,>=+2,es_lag2p_private_pre,-0.2068692219090142,0.0856035325009954,-2.4165967906360493,0.016369131749956356,**,-0.3754491632796534,-0.03828928053837502,26541,406
EarnQualAbs,high_lev_pre,<=-4,es_lead4m_high_lev_pre,-0.00044274836682634146,0.006270166005817622,-0.07061190507803909,0.9437628619965774,,-0.012791590933374897,0.011906094199722213,25078,403
EarnQualAbs,high_lev_pre,-3,es_lead3_high_lev_pre,-0.001246366027996543,0.006484235350917179,-0.19221480414344427,0.8477293688842804,,-0.014016809655586522,0.011524077599593436,25078,403
EarnQualAbs,high_lev_pre,-2,es_lead2_high_lev_pre,-0.010083125131665885,0.0036999489327032334,-2.7252065677293054,0.00687833688040973,***,-0.017370027397384073,-0.002796222865947698,25078,403
EarnQualAbs,high_lev_pre,0,es_event0_high_lev_pre,0.003199323657279905,0.0036753956516223543,0.8704705453595706,0.3848750400807923,,-0.0040392218979016445,0.010437869212461454,25078,403
EarnQualAbs,high_lev_pre,+1,es_lag1_high_lev_pre,0.005462198342380941,0.0052277092929273496,1.0448550285247948,0.2970951875725234,,-0.004833567189527757,0.01575796387428964,25078,403
EarnQualAbs,high_lev_pre,>=+2,es_lag2p_high_lev_pre,0.003130127644838574,0.0039024400832949977,0.802094991345946,0.4232567562060763,,-0.004555572888334879,0.010815828178012027,25078,403
DUVOL,private_pre,<=-4,es_lead4m_private_pre,-0.024035830597651978,0.03686943578060025,-0.6519175053473157,0.5150415454203918,,-0.09664320018476409,0.048571538989460136,26541,406
DUVOL,private_pre,-3,es_lead3_private_pre,-0.06215736967847706,0.034852552516083705,-1.7834380896432986,0.07570429350298191,*,-0.1307928697346248,0.006478130377670678,26541,406
DUVOL,private_pre,-2,es_lead2_private_pre,0.00792639754065751,0.020467502441636237,0.3872674530397588,0.6988812394019162,,-0.0323804713560709,0.048233266437385916,26541,406
DUVOL,private_pre,0,es_event0_private_pre,-0.02891578170237455,0.030419065803509192,-0.9505808590294965,0.3427172648969672,,-0.08882036951416335,0.03098880610941425,26541,406
DUVOL,private_pre,+1,es_lag1_private_pre,-0.09092057454911522,0.05574848145696185,-1.6309067471067606,0.10414443308582233,,-0.20070664833535196,0.01886549923712151,26541,406
DUVOL,private_pre,>=+2,es_lag2p_private_pre,-0.11507976903442758,0.04190662170504701,-2.746099884748476,0.006460370993022435,***,-0.1976069221048483,-0.03255261596400688,26541,406
NCSKEW,high_lev_pre,<=-4,es_lead4m_high_lev_pre,0.0008552220965577848,0.07128199356400979,0.011997729774347748,0.9904368074566476,,-0.13952116126896885,0.1412316054620844,26541,406
NCSKEW,high_lev_pre,-3,es_lead3_high_lev_pre,0.01338542530685358,0.08266744391724468,0.1619189450233061,0.8714979067468098,,-0.14941244578179178,0.17618329639549893,26541,406
NCSKEW,high_lev_pre,-2,es_lead2_high_lev_pre,-0.02892590677828701,0.04378775713073106,-0.6605934780337555,0.5094693663853489,,-0.11515759972582507,0.057305786169251055,26541,406
NCSKEW,high_lev_pre,0,es_event0_high_lev_pre,0.02801280005196913,0.07866139214744033,0.3561187933142965,0.7220460554179056,,-0.12689591094303745,0.1829215110469757,26541,406
NCSKEW,high_lev_pre,+1,es_lag1_high_lev_pre,0.13968723888558462,0.05006279362812035,2.7902405911108024,0.005664741110686489,***,0.04109805023754838,0.23827642753362088,26541,406
