spec,exposure,y_name,coef,se,t_stat,p_value,N,positives,sig_10,sig_05,sig_01
baseline,dx_wstr17,verif_noinst_kw,.0180216037142401,.006376524,2.8262424,.0049696742,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,verif_noinst_kw,.011331583058544,.0050179288,2.2582192,.024878355,18296,1129,1,1,0
drop_year_2024,dx_wstr17,verif_noinst_kw,.0156466147991082,.0051544211,3.0355716,.0025740722,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,verif_noinst_kw,.0152201424857533,.0054393406,2.7981594,.0054128747,19218,1129,1,1,1
industry_year_fe,dx_wstr17,verif_noinst_kw,.0075954279948895,.0045545432,1.6676596,.096243329,19200,1129,1,0,0
add_prewash_x_2024,dx_wany17,verif_noinst_share,.0006641157612199,.00043778014,1.5170076,.13013275,19222,1937,0,0,0
baseline,dx_wany17,verif_noinst_share,.0006953342620155,.00044653661,1.5571719,.12029867,19222,1937,0,0,0
cityyear_prewashyear_fe,dx_wany17,verif_noinst_share,.0005812887333559,.00040846854,1.4230931,.15607603,18296,1937,0,0,0
drop_year_2024,dx_wany17,verif_noinst_share,.0006825488611719,.00043419536,1.5719856,.11682508,16529,1937,0,0,0
industry_2024_fe,dx_wany17,verif_noinst_share,.0005954038933665,.0004303813,1.3834335,.16737984,19218,1937,0,0,0
industry_year_fe,dx_wany17,verif_noinst_share,.0002951591197949,.00040320362,.73203486,.46461833,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,verif_noinst_share,.0011766981249166,.00050621852,2.3244865,.020649038,19222,1129,1,1,0
baseline,dx_wstr17,verif_noinst_share,.0013470585733527,.0005645451,2.3860955,.017538801,19222,1129,1,1,0
cityyear_prewashyear_fe,dx_wstr17,verif_noinst_share,.0007775421036885,.00048908708,1.5897826,.11326946,18296,1129,0,0,0
drop_year_2024,dx_wstr17,verif_noinst_share,.001186165281542,.00045889849,2.5848098,.010132796,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,verif_noinst_share,.0011654164269185,.00050235895,2.3198879,.020899465,19218,1129,1,1,0
industry_year_fe,dx_wstr17,verif_noinst_share,.0005387400744413,.00043078006,1.2506152,.21187821,19200,1129,0,0,0
