exposure,y_family,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wstr,pricing_efficiency,PriceDelay,2019,-.012286388493125,.0072705476,-1.6898849,.10108384,22096,1,0,0
wstr,pricing_efficiency,PriceDelay,2020,-.0151763112509302,.0057867584,-2.6225929,.013410193,22096,1,1,1
wstr,pricing_efficiency,PriceDelay,2021,-.0302113776771732,.010961832,-2.7560518,.0097108753,22096,1,1,1
wstr,pricing_efficiency,PriceDelay,2023,-.0121065982880352,.0068831369,-1.758878,.088467062,22096,1,0,0
wstr,pricing_efficiency,PriceDelay,2024,.0018346371392121,.0064171297,.28589684,.77685893,22096,0,0,0
wstr,productivity,TFP,2019,,,,,0,,,
wstr,productivity,TFP,2020,,,,,0,,,
wstr,productivity,TFP,2021,,,,,0,,,
wstr,productivity,TFP,2023,,,,,0,,,
wstr,productivity,TFP,2024,,,,,0,,,
wstr,supply_chain,SCConc,2019,.7342891883799295,.66345674,1.1067628,.27691117,21939,0,0,0
wstr,supply_chain,SCConc,2020,.2347531560220119,.64361358,.3647424,.71778023,21939,0,0,0
wstr,supply_chain,SCConc,2021,.1258601311894997,.41310391,.30466944,.76265401,21939,0,0,0
wstr,supply_chain,SCConc,2023,.1595819719063518,.4137921,.38565737,.70238435,21939,0,0,0
wstr,supply_chain,SCConc,2024,.2734546678230583,.59315687,.46101576,.64800555,21939,0,0,0
wstr,supply_chain,SuppConc,2019,1.419298105704924,.68637264,2.0678244,.047088787,21886,1,1,0
wstr,supply_chain,SuppConc,2020,.4894484612845904,.63116765,.77546507,.44394064,21886,0,0,0
wstr,supply_chain,SuppConc,2021,.3165626138096149,.52517527,.60277516,.55104285,21886,0,0,0
wstr,supply_chain,SuppConc,2023,.1112639976547174,.49671328,.22400045,.82422674,21886,0,0,0
wstr,supply_chain,SuppConc,2024,-.0488120691754688,.65120006,-.074957103,.94073045,21886,0,0,0
wstr,valuation,TobinQ,2019,-.0734751833616654,.046959966,-1.5646346,.12782089,22096,0,0,0
wstr,valuation,TobinQ,2020,-.0550119269712207,.049627393,-1.1084992,.27617258,22096,0,0,0
wstr,valuation,TobinQ,2021,-.0653588733114357,.035354875,-1.8486524,.074066222,22096,1,0,0
wstr,valuation,TobinQ,2023,.0373348912471448,.022439273,1.6638192,.10622685,22096,1,0,0
wstr,valuation,TobinQ,2024,.054997745478142,.02399567,2.2919862,.028856637,22096,1,1,0
