exposure,y_family,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wstr,mismatch_x,NarrHardVerified_direct_v1,p1,.0168252816234829,.0099353855,1.6934705,.091187604,23526,1,0,0
wstr,mismatch_x,NarrHardVerified_direct_v1,p2,.0143962571794755,.011641287,1.2366551,.21698092,23526,0,0,0
wstr,mismatch_x,NarrHardVerified_direct_v1,p3,.0006573652896844,.015477637,.042471942,.96614486,23526,0,0,0
wstr,mismatch_x,NarrHardWashing_direct_v1,m2,.0388098161442996,.0069233803,5.6056166,4.0018310e-08,23526,1,1,1
wstr,mismatch_x,NarrHardWashing_direct_v1,m3,.0637410448965932,.017704939,3.6001844,.00036024689,23526,1,1,1
wstr,mismatch_x,NarrHardWashing_direct_v1,p0,-.029895802130613,.010006848,-2.9875345,.0029953797,23526,1,1,1
wstr,mismatch_x,NarrHardWashing_direct_v1,p1,-.0813864162475626,.01738359,-4.6817956,3.9667816e-06,23526,1,1,1
wstr,mismatch_x,NarrHardWashing_direct_v1,p2,-.0926281669899811,.016958283,-5.4621191,8.5335294e-08,23526,1,1,1
wstr,mismatch_x,NarrHardWashing_direct_v1,p3,-.0982339306858776,.016265886,-6.0392609,3.6967671e-09,23526,1,1,1
wstr,pricing_efficiency,PriceDelay,m2,.0103843182583829,.007059454,1.4709804,.14212617,23526,0,0,0
wstr,pricing_efficiency,PriceDelay,m3,.0144126378563731,.0056227609,2.5632672,.010754368,23526,1,1,0
wstr,pricing_efficiency,PriceDelay,p0,.0006138898003178,.0098540578,.062298171,.95035821,23526,0,0,0
wstr,pricing_efficiency,PriceDelay,p1,.0106152578407178,.0077295508,1.3733343,.1704603,23526,0,0,0
wstr,pricing_efficiency,PriceDelay,p2,.0131524077375864,.0063620131,2.0673342,.039381027,23526,1,1,0
wstr,pricing_efficiency,PriceDelay,p3,.0180102989761926,.0075781266,2.3766162,.0179682,23526,1,1,0
wstr,pricing_efficiency,SYNCH,m2,.0224406687068452,.036607105,.61301398,.54023474,23498,0,0,0
