y_name,dropped_city,dropped_city_id,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
strict_at_kw,南昌,72,.0166127741515406,.0060025728,2.7676089,.0059362617,19073,1,1,1
strict_at_kw,合肥,82,.0170715377967206,.0060262163,2.8328784,.0048706001,18979,1,1,1
strict_at_kw,呼和浩特,89,.0165341862602496,.0059573869,2.7754092,.0057986514,19180,1,1,1
strict_at_kw,天津,106,.0170204489469118,.0060657454,2.8059945,.0052865022,18924,1,1,1
strict_at_kw,太原,109,.0163685051853102,.005968025,2.7427003,.0063956981,19132,1,1,1
strict_at_kw,广州,147,.0174140088746286,.0061296173,2.8409619,.0047514886,18721,1,1,1
strict_at_kw,德阳,164,.016352679350741,.0059512109,2.7477903,.0062992843,19215,1,1,1
strict_at_kw,无锡,188,.0167778914379507,.0060139839,2.789813,.0055521107,19063,1,1,1
strict_at_kw,昆明,191,.0163378484202353,.0059697363,2.736779,.0065095406,19091,1,1,1
strict_at_kw,杭州,206,.0147670702025911,.0064486298,2.2899547,.022597037,18548,1,1,0
strict_at_kw,沈阳,239,.016705051709075,.0060236836,2.7732286,.0058368267,19080,1,1,1
strict_at_kw,深圳,263,.0189245480739335,.0060777799,3.1137271,.00199412,17785,1,1,1
strict_at_kw,福州,303,.0167009458133664,.006083386,2.7453372,.0063455873,18997,1,1,1
strict_at_kw,苏州,316,.0170154102146989,.0060664439,2.804841,.0053050495,18897,1,1,1
strict_at_kw,贵阳,341,.016593704833879,.0060100318,2.7610011,.006055139,19132,1,1,1
strict_at_kw,郑州,359,.0161599126451939,.0060550561,2.6688294,.0079532117,19081,1,1,1
strict_at_kw,重庆,366,.0169048502217884,.0060569677,2.7909758,.0055326284,18946,1,1,1
strict_at_kw,长春,378,.0160142536598484,.0060593979,2.6428788,.0085765375,19078,1,1,1
strict_at_kw,长沙,379,.0170292070494968,.0060102926,2.8333406,.0048637143,18932,1,1,1
