policy,exposure,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
acct2024,wstr,NarrHardHushing_direct_v1,2022,.0042105307540769,.0040101833,1.0499597,.29455188,17451,0,0,0
acct2024,wstr,NarrHardHushing_direct_v1,2024,.003564139052871,.0044629574,.79860479,.42512906,17451,0,0,0
acct2024,wstr,NarrHardVerified_direct_v1,2021,-.0086283327331648,.0073874923,-1.1679651,.24371547,17451,0,0,0
acct2024,wstr,NarrHardVerified_direct_v1,2022,-.0044005402007623,.0052670953,-.83547759,.40409023,17451,0,0,0
acct2024,wstr,NarrHardVerified_direct_v1,2024,.01195148745791,.0054257894,2.2027185,.028347872,17451,1,1,0
acct2024,wstr,NarrHardWashing_direct_v1,2021,.0016177015564479,.011667432,.13865103,.88981563,17451,0,0,0
acct2024,wstr,NarrHardWashing_direct_v1,2022,.0054926653326258,.0083314804,.65926641,.5102126,17451,0,0,0
acct2024,wstr,NarrHardWashing_direct_v1,2024,-.0426759830588904,.010253966,-4.1619,.000040897266,17451,1,1,1
dataip,gap,DU_kw,2019,-.3967350579771723,.07037434,-5.637496,3.4535528e-06,22096,1,1,1
dataip,gap,DU_kw,2020,-.1941869131987811,.055736572,-3.4840124,.0014957394,22096,1,1,1
dataip,gap,DU_kw,2021,-.0722575565273671,.041971195,-1.7215987,.095108621,22096,1,0,0
dataip,gap,DU_kw,2023,.0386319287564556,.021486938,1.7979262,.081935093,22096,1,0,0
dataip,gap,DU_kw,2024,.0091757671935576,.049355898,.18591025,.85372633,22096,0,0,0
dataip,gap,HardCap_direct_v1,2019,.0843766435756235,.0075151846,11.227488,1.8817465e-12,22096,1,1,1
dataip,gap,HardCap_direct_v1,2020,.0512084587040209,.020901479,2.4499922,.02013162,22096,1,1,0
dataip,gap,HardCap_direct_v1,2021,.0284945516761709,.019064382,1.4946486,.1451169,22096,0,0,0
dataip,gap,HardCap_direct_v1,2023,-.0453441089161935,.022720443,-1.9957405,.054812714,22096,1,1,0
dataip,gap,HardCap_direct_v1,2024,.1078633775211353,.031675909,3.4052181,.0018454589,22096,1,1,1
dataip,gap,NarrHardGap_direct_v1,2019,-.0092336252300118,.017320095,-.53311634,.59775466,22096,0,0,0
dataip,gap,NarrHardGap_direct_v1,2020,.0561001838209475,.011422338,4.9114447,.000027679267,22096,1,1,1
dataip,gap,NarrHardGap_direct_v1,2021,.0629680774544503,.0060277018,10.446448,1.1177415e-11,22096,1,1,1
dataip,gap,NarrHardGap_direct_v1,2023,-.0458508614944375,.0057156878,-8.0219326,4.6616742e-09,22096,1,1,1
dataip,gap,NarrHardGap_direct_v1,2024,-.0707005735479486,.0082404679,-8.5796795,1.0873064e-09,22096,1,1,1
dataip,gap,NarrHardHushing_direct_v1,2019,.0346053121382549,.014934856,2.3170838,.027274271,22096,1,1,0
dataip,gap,NarrHardHushing_direct_v1,2020,-.0075081562431977,.019802652,-.37914902,.7071619,22096,0,0,0
dataip,gap,NarrHardHushing_direct_v1,2021,-.0247514045485587,.014706071,-1.6830739,.10240724,22096,1,0,0
dataip,gap,NarrHardHushing_direct_v1,2023,.0169951539180677,.0069067855,2.4606459,.019640554,22096,1,1,0
dataip,gap,NarrHardHushing_direct_v1,2024,.023342796885751,.014772914,1.5801078,.12423306,22096,0,0,0
dataip,gap,NarrHardVerified_direct_v1,2019,-.0014515948077471,.014619929,-.099288777,.92154831,22096,0,0,0
dataip,gap,NarrHardVerified_direct_v1,2020,.00171028137833,.013511221,.12658229,.90008849,22096,0,0,0
dataip,gap,NarrHardVerified_direct_v1,2021,.0015495364592228,.012065536,.12842666,.89864093,22096,0,0,0
dataip,gap,NarrHardVerified_direct_v1,2023,.0039371435883735,.010717764,.36734748,.7158559,22096,0,0,0
