sample,outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign
all,risk_debt_per10k,natural_highlev_pre,main_fe,ok,1.4239109474587326,1.332426082732393,1.0686603676646231,0.28623332137037005,,26541,400,406,4.667098780491121,1
all,risk_debt_per10k,natural_highlev_pre,plus_exposure_group_year_fe,ok,0.6769975786785217,1.4335462984902456,0.472253724481385,0.6371495865608221,,26541,400,406,4.667098780491121,1
all,risk_debt_per10k,private_highlev_pre,main_fe,ok,0.9452791412233104,1.110232733369473,0.8514243120489333,0.3953325373766847,,26541,410,406,4.667098780491121,1
all,risk_debt_per10k,private_highlev_pre,plus_exposure_group_year_fe,ok,0.1631906491185631,1.2236772950595451,0.133360854023709,0.8940131858290705,,26541,410,406,4.667098780491121,1
all,has_risk_text,natural_pre,main_fe,ok,0.04330804344430682,0.0224342813306146,1.9304404186644106,0.05466111210206814,*,26541,997,406,0.8585961342828077,1
all,has_risk_text,natural_pre,plus_exposure_group_year_fe,ok,0.016440019925870315,0.023124693074334055,0.7109292163586373,0.47777784979137494,,26541,997,406,0.8585961342828077,1
all,has_risk_text,failure_cost_pre,main_fe,ok,0.07599359948080142,0.037426036420480056,2.030500869154732,0.04334342416286674,**,26541,1210,406,0.8585961342828077,1
all,has_risk_text,failure_cost_pre,plus_exposure_group_year_fe,ok,0.053912422554174194,0.036404179052444106,1.4809404842369223,0.1398569618884875,,26541,1210,406,0.8585961342828077,1
all,has_risk_text,private_pre,main_fe,ok,0.054559917947612786,0.01629531960128318,3.3481956342431265,0.0009362512901089914,***,26541,972,406,0.8585961342828077,1
all,has_risk_text,private_pre,plus_exposure_group_year_fe,ok,0.03207333967315605,0.01789068019279691,1.7927400930272803,0.0741996688196711,*,26541,972,406,0.8585961342828077,1
all,has_risk_text,high_lev_pre,main_fe,ok,0.022226436384465725,0.014309756316290513,1.5532365396860537,0.12160683643668446,,26541,595,406,0.8585961342828077,1
all,has_risk_text,high_lev_pre,plus_exposure_group_year_fe,ok,0.01897297769433216,0.017409595057175854,1.0898000574982882,0.2768300068217997,,26541,595,406,0.8585961342828077,1
all,has_risk_text,natural_highlev_pre,main_fe,ok,0.03210271211421007,0.01832602384200384,1.7517554484802982,0.08101800216967758,*,26541,400,406,0.8585961342828077,1
all,has_risk_text,natural_highlev_pre,plus_exposure_group_year_fe,ok,0.01706596719220532,0.019547076080191503,0.8730700756569687,0.383446276142255,,26541,400,406,0.8585961342828077,1
all,has_risk_text,private_highlev_pre,main_fe,ok,0.04916330068392099,0.016764919408814707,2.932510409687491,0.0036680026629209994,***,26541,410,406,0.8585961342828077,1
all,has_risk_text,private_highlev_pre,plus_exposure_group_year_fe,ok,0.035270590550759054,0.018861922494665208,1.8699361404297348,0.06263848740122091,*,26541,410,406,0.8585961342828077,1
all,risk_boilerplate_ratio,natural_pre,main_fe,ok,0.004363019733177172,0.0025439601095188073,1.7150503723906432,0.087550812545655,*,26541,997,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,natural_pre,plus_exposure_group_year_fe,ok,0.0023320158986923746,0.0027862012531013427,0.8369875995485212,0.40338324484497257,,26541,997,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,failure_cost_pre,main_fe,ok,0.0034175082523405487,0.0025117011651424655,1.3606348954919185,0.17483050172888315,,26541,1210,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,failure_cost_pre,plus_exposure_group_year_fe,ok,0.00353001312309791,0.002605726922004476,1.3547133789378127,0.17670791775168015,,26541,1210,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,private_pre,main_fe,ok,0.0060959292014227395,0.0018979542683626653,3.211841983253685,0.0014883491855062214,***,26541,972,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,private_pre,plus_exposure_group_year_fe,ok,0.004476778908980285,0.0021965733622342286,2.038073931856645,0.042574504033698224,**,26541,972,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,high_lev_pre,main_fe,ok,-0.0025562500273031796,0.0015499252087197081,-1.649273147453825,0.10032300271145811,,26541,595,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,high_lev_pre,plus_exposure_group_year_fe,ok,-0.002059625876223887,0.0019515386620631487,-1.0553856381438376,0.2922478734175922,,26541,595,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,natural_highlev_pre,main_fe,ok,0.00020088891055550497,0.0020952681355317524,0.09587742358546483,0.9236932294646021,,26541,400,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,natural_highlev_pre,plus_exposure_group_year_fe,ok,0.0005503122835029724,0.0025672088279672972,0.2143621031167561,0.8304360088848042,,26541,400,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,private_highlev_pre,main_fe,ok,0.0014651236294273247,0.002019280345770635,0.725567221260789,0.46876947211949194,,26541,410,406,0.020365461766849606,-1
all,risk_boilerplate_ratio,private_highlev_pre,plus_exposure_group_year_fe,ok,0.0016303327492671426,0.002453579429819704,0.6644711515970543,0.5069892202397226,,26541,410,406,0.020365461766849606,-1
nonfinancial,risk_quality_index,natural_pre,main_fe,ok,-0.028084852157127915,0.033243919483366954,-0.8448117007135608,0.3990079014742087,,26541,997,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,natural_pre,plus_exposure_group_year_fe,ok,-0.06612164050061504,0.03633380218748384,-1.8198381815210198,0.06995607252735736,*,26541,997,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,failure_cost_pre,main_fe,ok,0.035886207978254724,0.062201105327728545,0.5769384288136928,0.5644900162951445,,26541,1210,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,failure_cost_pre,plus_exposure_group_year_fe,ok,0.007147625928900125,0.06691271516140636,0.10682014489561026,0.9150156555101261,,26541,1210,406,-0.01877951288985768,1
