sample,outcome,exposure,event,rel_year,coef,se_city_cluster,p,sig
all,risk_debt_per10k,private_pre,>=+2,2,0.6233335370130841,0.8840665179567307,0.481406842386209,
all,risk_debt_per10k,private_highlev_pre,<=-4,-4,-0.2179862452710596,0.6628448518369529,0.7425279111718535,
all,risk_debt_per10k,private_highlev_pre,-3,-3,0.007545534467880337,1.5740165377741753,0.9961788566547216,
all,risk_debt_per10k,private_highlev_pre,-2,-2,1.4219640503037791,1.0835901865165831,0.19060867393662329,
all,risk_debt_per10k,private_highlev_pre,0,0,0.0674046784393384,0.5495420090809942,0.9024760421096096,
all,risk_debt_per10k,private_highlev_pre,+1,1,0.6488794795993168,1.4340731378497507,0.6513129065611691,
all,risk_debt_per10k,private_highlev_pre,>=+2,2,3.4558232888199103,1.1678933942559402,0.0033763685487659956,***
all,risk_quality_index,natural_pre,<=-4,-4,-0.01926278723026149,0.08760713773537324,0.8261429306560735,
all,risk_quality_index,natural_pre,-3,-3,-0.044392956987940865,0.06398682365849773,0.4884499394123094,
all,risk_quality_index,natural_pre,-2,-2,0.0267176459509639,0.03012792312876145,0.3760185374179188,
all,risk_quality_index,natural_pre,0,0,-0.026553321785445033,0.05216491659115771,0.6111738528648885,
all,risk_quality_index,natural_pre,+1,1,-0.0502115484553696,0.05378094169269479,0.35137752281430656,
all,risk_quality_index,natural_pre,>=+2,2,-0.04272802097000988,0.04629609797279731,0.35691653585129846,
all,risk_quality_index,failure_cost_pre,<=-4,-4,-0.017903409939820175,0.12130763681337889,0.8827854738800085,
all,risk_quality_index,failure_cost_pre,-3,-3,-0.01916944048054344,0.062396627467902116,0.7589272956593682,
all,risk_quality_index,failure_cost_pre,-2,-2,0.010237049844875524,0.05646961057740321,0.8562884923277279,
all,risk_quality_index,failure_cost_pre,0,0,0.04431536272924174,0.06789150405100627,0.5145132368763408,
all,risk_quality_index,failure_cost_pre,+1,1,0.01154051415220538,0.060112605646354275,0.8479094093167521,
all,risk_quality_index,failure_cost_pre,>=+2,2,0.021721919161961555,0.052503667008081144,0.6794254929458714,
all,risk_quality_index,high_lev_pre,<=-4,-4,0.010864756439989024,0.05385650541177215,0.8402845291100125,
all,risk_quality_index,high_lev_pre,-3,-3,0.005029654337512965,0.08619929955886012,0.9535162301420534,
all,risk_quality_index,high_lev_pre,-2,-2,-0.011425452299058024,0.042478797670122755,0.7881715255978861,
all,risk_quality_index,high_lev_pre,0,0,0.04660043247082813,0.03263344456439056,0.15451653751535543,
all,risk_quality_index,high_lev_pre,+1,1,0.07547558574862222,0.04641464119447218,0.10516014381811178,
all,risk_quality_index,high_lev_pre,>=+2,2,0.10172449739930452,0.051747540911641084,0.05040856443861985,*
all,risk_quality_index,natural_highlev_pre,<=-4,-4,0.015721708224098133,0.11107080266152401,0.8875498115945057,
all,risk_quality_index,natural_highlev_pre,-3,-3,-0.04340211487759037,0.04850986560169241,0.371787464745575,
all,risk_quality_index,natural_highlev_pre,-2,-2,0.015978245404675764,0.039253691115896994,0.6843121620344901,
all,risk_quality_index,natural_highlev_pre,0,0,0.01683183200709513,0.033080806373261565,0.6113256320393945,
all,risk_quality_index,natural_highlev_pre,+1,1,0.00941742509710577,0.04395138346753391,0.8305084219948982,
all,risk_quality_index,natural_highlev_pre,>=+2,2,0.059701205091731,0.053171202599003785,0.2625738572947749,
all,risk_quality_index,private_pre,<=-4,-4,0.032952400970968077,0.07276017811125467,0.6510126117310115,
all,risk_quality_index,private_pre,-3,-3,0.05576375217029356,0.0626515614241078,0.3742717246751668,
all,risk_quality_index,private_pre,-2,-2,0.05593034702082363,0.02605898260855846,0.03279304420720752,**
all,risk_quality_index,private_pre,0,0,0.04605881981159585,0.0650996968523109,0.4798944388954862,
all,risk_quality_index,private_pre,+1,1,-0.013508122097007974,0.04738962310349112,0.7758418934402009,
all,risk_quality_index,private_pre,>=+2,2,-0.023896320241677156,0.043558217090903385,0.5837555311999876,
all,risk_quality_index,private_highlev_pre,<=-4,-4,0.021185259175821196,0.10872310814217676,0.8456614914890723,
all,risk_quality_index,private_highlev_pre,-3,-3,-0.013473982685289399,0.04677005459116486,0.7735119009528977,
